Time, Altitude, Velocity, Acceleration, vertical orientation, lateral orientation
0.00,0.00,0.04,3.80,90.00,0.00
0.02,0.00,0.35,31.01,90.00,0.00
0.03,0.01,0.93,58.23,90.00,0.00
0.04,0.02,1.78,85.47,90.00,0.00
0.05,0.05,2.91,112.72,90.00,0.00
0.06,0.08,4.17,126.26,90.00,0.00
0.07,0.13,5.43,126.04,90.00,0.00
0.08,0.19,6.69,125.81,90.00,0.00
0.09,0.26,7.95,125.59,90.00,0.00
0.10,0.35,9.20,125.36,90.00,0.00
0.11,0.45,10.45,125.13,90.00,0.00
0.12,0.56,11.70,124.89,90.00,0.00
0.13,0.68,12.95,124.66,90.00,0.00
0.14,0.82,14.19,124.42,90.00,0.00
0.15,0.96,15.43,124.18,90.00,0.00
0.16,1.12,16.67,123.94,90.00,0.00
0.17,1.30,17.91,123.74,90.00,0.00
0.18,1.48,19.14,123.59,90.00,0.00
0.19,1.67,20.32,123.43,90.00,0.00
0.20,1.86,21.43,123.28,90.00,0.00
0.21,2.16,23.09,123.11,90.00,0.00
0.23,2.65,25.58,122.85,89.99,0.00
0.26,3.49,29.30,122.43,89.95,0.00
0.31,4.95,34.85,122.06,89.84,0.00
0.36,6.84,40.95,121.98,89.64,0.00
0.41,9.04,47.04,121.86,89.33,0.00
0.46,11.55,53.12,121.68,88.92,0.00
0.51,14.35,59.20,121.45,88.42,0.01
0.56,17.47,65.25,120.93,87.86,0.01
0.61,20.88,71.26,120.11,87.28,0.01
0.66,24.59,77.22,119.21,86.76,0.01
0.71,28.60,83.15,118.27,86.37,0.01
0.76,32.90,89.02,117.33,86.18,0.00
0.80,36.75,93.92,116.40,86.20,0.00
0.84,40.98,98.99,115.48,86.38,0.00
0.89,46.07,104.72,114.44,86.75,-0.00
0.94,51.45,110.39,113.32,87.19,0.00
0.99,57.11,116.01,112.12,87.56,0.00
1.04,62.34,120.91,110.85,87.70,0.01
1.07,66.75,124.83,109.24,87.67,0.01
1.12,72.02,129.30,107.44,87.48,0.02
1.17,78.61,134.58,105.23,87.14,0.01
1.22,85.47,139.74,102.81,86.81,0.00
1.27,92.58,144.77,100.40,86.65,-0.00
1.30,97.67,148.20,98.47,86.71,-0.01
1.34,103.82,152.17,96.66,86.91,-0.01
1.39,111.55,156.91,94.42,87.19,0.00
1.44,119.51,161.52,91.92,87.33,0.02
1.48,126.53,165.38,89.59,87.27,0.03
1.53,134.91,169.74,86.70,87.05,0.03
1.58,143.50,173.89,82.58,86.85,0.01
1.63,152.05,177.73,78.53,86.83,-0.01
1.68,161.04,181.48,74.56,86.98,-0.01
1.73,170.20,185.02,70.47,87.13,-0.00
1.78,179.53,188.35,66.26,87.12,0.02
1.83,189.02,191.10,54.58,87.01,0.03
1.88,198.61,192.63,30.54,86.93,0.00
1.93,208.26,193.07,8.65,86.93,-0.02
1.98,217.91,193.16,1.83,87.00,-0.02
2.03,227.57,193.02,-2.71,87.08,0.01
2.08,237.21,192.59,-8.44,87.08,0.03
2.13,246.82,191.88,-14.14,86.99,0.02
2.18,256.39,190.89,-19.76,86.91,-0.01
2.23,265.90,189.61,-25.27,86.94,-0.01
2.26,271.02,188.75,-31.70,86.97,-0.01
2.30,278.67,187.33,-34.65,87.00,0.01
